text,sentiment,source,label
بسيطة مؤثرة مأساوية تستحق القراءة,positive,LABR,2
رائع. نعم.,neutral,HARD,1
“ممتاز”. رائع والسرير مرررررررررريح. لاشيء,positive,HARD,2
“مستوى اقل من متوسط”. و لا شيئ. -سيفون الحمام خربان.-الكهرب يفصل ويرجع ف بعض اللمبات.-رائحة الحمام والغرفة كريهة جدا.-صار سيئ جدا عن اول صراحة لا يستحق ٥ نجوم.,negative,HARD,0
جيد. اعجبني فخامة المكان وموقعه القريب من الحرم وكذلك النظاقه انصح مرتادي مكة بالسكن فيه. المواصلات فقط,neutral,HARD,1
رائع. العشاء. ضيق الغرفة ..,neutral,HARD,1
مخيب للأمل. الجلسة الخارجية للمطعم رائعة مضمار المشي لهواة المشي بجوار الفندق ورائع توسطه من دبي وبعده عن الضجيج. خصم مبلغ الفيزا فبل الوصول حسب العرضخيارات الافطار محدودة,negative,HARD,0
“الغرفة غير لائقة ب نجمه واحدة”. الاستقبال والجراج. الغرفةالنظافهصوت كبير مروحه بالحمام الحمام غير نظيف وغير متكامل ابداالافطار غير لائق,negative,HARD,0
مخيب للأمل. الغرفة ودورة المياة وسيعة جداالسعرالنت مجاني. ازعاج المرقص الاصوات الخارجيةالسرير مزدوج لكن بمرتبتين منفصلتين شي غريب,negative,HARD,0
مخيب للأمل. . البطء في الاستقبال والتأخر في موعد تسليم الغرف عند الحضور والتأخر في تسليم مبلغ التأمين جداً,negative,HARD,0
“أقامه ممتازه ومريحه والحمدلله لكن يحتاج الفندق إلى وحدات تدفئة خصوصا في فصل الشتاء.”. راااااااااااااااائع إلا أن ازدحام مرتادي المطعم كثير مقارنة بالعاملين والأدوات قليله. زيادة العاملين وأدوات الاستخدام في المطعم وترتيب الكراسي وطاولات الطعام أفضل من الوضع الحالي حيث يحدث ازدحام وسباق على الطاولات بشكل فوضوي حيث يقوم شخص واحدبأستخدام طاوله لعدة أشخاص بحجة حجزها لاخرين,negative,HARD,0
المنتج مغشوش ولا يشبه الوصف المكتوب في الإعلان,negative,synthetic_arabic,0
“ارئعه”. المنتجع هادئ و جميل ويستحق الاقامه به. اسعار قائمه الطعام مرتفعه,positive,HARD,2
“فله”. . الازعاج,neutral,HARD,1
“الفندق جمييل ونظيف”. الجناح واسع ونظيف. لم توفر بعض الاشياء الضروريه الابعد الطلب ومضي وقت,neutral,HARD,1
جيد. الموقع والاستقبال. الحمامات ينقع فيها الماء,neutral,HARD,1
منتج عادي يلبي الاحتياج الأساسي دون أكثر من ذلك,neutral,synthetic_arabic,1
“تجربة تستحق التكرار”. الاطلالة على النافورة جميلة جدا. سعر القهوة العربية مبالغ فيه !,positive,HARD,2
