text,sentiment,source
المنتج ممتاز جداً وجودته عالية، سعيد جداً بشرائه,positive,synthetic_arabic
خدمة العملاء رائعة والتوصيل كان سريعاً جداً,positive,synthetic_arabic
أنصح الجميع بهذا المنتج، يستحق كل ريال,positive,synthetic_arabic
تجربة تسوق مميزة، سأعود للشراء مجدداً بالتأكيد,positive,synthetic_arabic
التغليف أنيق والمنتج طابق الوصف تماماً,positive,synthetic_arabic
أفضل موقع تسوق استخدمته، سهل وسريع وموثوق,positive,synthetic_arabic
المنتج وصل بحالة ممتازة والسعر معقول جداً,positive,synthetic_arabic
سرعة التوصيل فاقت توقعاتي، شكراً لكم,positive,synthetic_arabic
جودة المنتج أفضل مما توقعت، راضٍ تماماً,positive,synthetic_arabic
فريق الدعم الفني محترف ومتعاون ويحل المشاكل بسرعة,positive,synthetic_arabic
الطعام لذيذ والخدمة سريعة والمكان نظيف ومريح,positive,synthetic_arabic
أحسن مطعم جربته، طعامهم طازج ومكوناته طبيعية,positive,synthetic_arabic
الوجبة كانت شهية جداً والكمية وافرة والسعر مناسب,positive,synthetic_arabic
خدمة ممتازة وطعام رائع سنعود إليهم بالتأكيد,positive,synthetic_arabic
أجود طعام أكلته في المنطقة، الطاهي محترف جداً,positive,synthetic_arabic
التطبيق رائع وسهل الاستخدام وخالٍ من الأخطاء,positive,synthetic_arabic
تحديث ممتاز حسّن الأداء كثيراً، شكراً للفريق,positive,synthetic_arabic
الموقع الإلكتروني سريع وواجهته جميلة وسهلة التصفح,positive,synthetic_arabic
أداء التطبيق ممتاز، لا تعليق، تجربة مثالية,positive,synthetic_arabic
البرنامج احترافي وسهل التعلم ويوفر وقتاً كبيراً,positive,synthetic_arabic
الفندق رائع والغرف نظيفة والإفطار لذيذ ومتنوع,positive,synthetic_arabic
موقع الفندق مثالي وطاقم العمل محترف ومرحب,positive,synthetic_arabic
تجربة إقامة لا تنسى، سأعود إليهم بكل تأكيد,positive,synthetic_arabic
المنتجع جميل جداً ومرافقه متكاملة والخدمة ممتازة,positive,synthetic_arabic
الدورة مفيدة جداً والمدرب متمكن وأسلوبه ممتاز,positive,synthetic_arabic
تعلمت الكثير من هذا الكتاب، أوصي به بشدة,positive,synthetic_arabic
المحتوى التعليمي منظم ومفيد وشامل لكل جوانب الموضوع,positive,synthetic_arabic
المنتج الصحي أعطى نتائج ممتازة خلال أسبوعين فقط,positive,synthetic_arabic
النادي الرياضي مجهز جيداً والمدربون محترفون ومتعاونون,positive,synthetic_arabic
أفضل مكمل غذائي جربته، نتائج واضحة وإيجابية,positive,synthetic_arabic
السيارة رائعة وأداؤها ممتاز على الطريق وتوفيرها للوقود عالٍ,positive,synthetic_arabic
المركبة مريحة جداً وتقنياتها متطورة وسعرها مناسب,positive,synthetic_arabic
خدمة البنك الإلكترونية سهلة وآمنة وسريعة جداً,positive,synthetic_arabic
التطبيق البنكي ممتاز وسهّل كل معاملاتي المالية,positive,synthetic_arabic
تجربة رائعة جداً سأوصي بها لجميع أصدقائي وعائلتي,positive,synthetic_arabic
أفضل قرار اتخذته كان اختيار هذه الخدمة,positive,synthetic_arabic
نعم أنصح به بشدة، لن تندم على هذا القرار,positive,synthetic_arabic
ممتاز ممتاز ممتاز، لا يوجد أفضل من هذا أبداً,positive,synthetic_arabic
كل شيء مثالي من البداية إلى النهاية، شكراً جزيلاً,positive,synthetic_arabic
منتج عالي الجودة يستحق كل التقييمات الإيجابية التي يحصل عليها,positive,synthetic_arabic
شحن سريع في نفس اليوم وتغليف ممتاز واحترافي,positive,synthetic_arabic
المنتج أصلي ١٠٠٪ وبسعر أقل من السوق بكثير,positive,synthetic_arabic
سهولة الاسترجاع والاستبدال والفريق متعاون جداً,positive,synthetic_arabic
أفضل موقع تسوق في المنطقة، خدمة ما بعد البيع ممتازة,positive,synthetic_arabic
المنتج وصل مكسوراً والتغليف كان سيئاً جداً,negative,synthetic_arabic
جودة المنتج أقل بكثير مما هو معروض في الصور,negative,synthetic_arabic
التوصيل تأخر أسبوعاً كاملاً دون أي إشعار,negative,synthetic_arabic
خدمة العملاء لا تستجيب وتتجاهل الشكاوى المتكررة,negative,synthetic_arabic
المنتج مغشوش ولا يشبه الوصف المكتوب في الإعلان,negative,synthetic_arabic
طلبت استرداد المال منذ أسبوعين ولم يحدث شيء حتى الآن,negative,synthetic_arabic
أسوأ تجربة شراء في حياتي، لن أعود لهذا الموقع,negative,synthetic_arabic
الموقع يأخذ المال ولا يوصل المنتج، عملية نصب واضحة,negative,synthetic_arabic
السعر مبالغ فيه جداً مقارنة بالجودة المتردية,negative,synthetic_arabic
لا ينصح به أبداً، ضياع مال وقت وجهد,negative,synthetic_arabic
الطعام كان بارداً ومذاقه سيئ جداً ولا يؤكل,negative,synthetic_arabic
الخدمة كانت بطيئة جداً وتجاهلوني طوال الوقت,negative,synthetic_arabic
المطعم غير نظيف والحمامات كارثة، لن أعود هنا,negative,synthetic_arabic
الطعام غير طازج وكان له رائحة سيئة واضحة,negative,synthetic_arabic
دفعت مبلغاً كبيراً مقابل وجبة رديئة لا تستحق,negative,synthetic_arabic
التطبيق يتعطل باستمرار ولا يعمل كما هو مفترض,negative,synthetic_arabic
الموقع بطيء جداً ومليء بالأخطاء ويضيع البيانات,negative,synthetic_arabic
سرقوا بياناتي الشخصية وحسابي البنكي تأثر بسببهم,negative,synthetic_arabic
البرنامج يحتاج إلى تحسينات كثيرة جداً لأن الواجهة معقدة,negative,synthetic_arabic
التحديث أفسد كل شيء والتطبيق أصبح أبطأ وأكثر أخطاءً,negative,synthetic_arabic
الغرفة كانت قذرة وتحتوي على حشرات، أمر لا يقبل,negative,synthetic_arabic
الفندق لا يستحق هذا السعر المبالغ فيه إطلاقاً,negative,synthetic_arabic
الخدمة مهملة والطاقم غير محترف وغير متعاون,negative,synthetic_arabic
