text,sentiment,source,label
مخيب للأمل. . ١-الفطور سيئ جداجدا .٢-جرس الأنذار طول الوقت يشتغل مزعج .٣- الممرات متسخه جدا .٤-لا احد يهتم لتنظيف الغرف,negative,HARD,0
“الفندق جميل و رخيص”. اعجبني السعر كان ارخص سعر في البرشاء .. و اعجبني انه نظيف و سولي فري اب جريد .. و موقع الفندق جدا جميل و قريب على امارات مول و جنبه كارفور صغير تقدرون تروحله مشي و مطاعم و محل مساج. البطئ بعض الشيء في ارسال الطلباتيوجد خمر في الميني بار في الثلاجهالباركنات ضيقه و فيها ريحة مجاري في B3 وهو اخر طابق في الباركنات سرير الاطفال من غير اسفنج (( دوشك )) اطرينا نحط اسفنج كراسي الصاله مع المخدات للطفل الي عندنا هذي هي بس العيوب الي شفتها و غيرها الفندق جميل جدا و رائع و رخيص جدا جدا,positive,HARD,2
“Riydah”. الموقع والهدوء  وتعامل طاقم العمل. السرير والوسائد مو مريحة أبدا,neutral,HARD,1
“مكان الفندق في منطقه سيئه من حيث النظافه”. . المكان غير نظيف,negative,HARD,0
“سي للغايه”. لاشي لسواق المعامله. كل شي لسوء المعامله,negative,HARD,0
“استطلاع وتسوق”. جيد جدا. ضعف في سحب الروائح(الهوايات).,neutral,HARD,1
استثنائي. ممتاز جدا نظافة الغرف ورائحتها جميله والهدوء لم اشاهد مايضايقني ابدا.,positive,HARD,2
“7”. الفطار ممتاز + النظافه + الاثاث +النقل كل 10 دقائق. بعض الاجهزه مثل الميكروويف و الغلايه لم تكن تعمل .. بس طلبنا غيرهم  عادي + بعيد عن تموينات او محلات اكل,neutral,HARD,1
“6.5”. واي فايموقعه. ازعاج العمال,neutral,HARD,1
جيد. . الفطور جدا بسيط,neutral,HARD,1
مخيب للأمل. إفطار ممتاز. تمت سرقة بعض أغراضي المتروكة سهوا في الغرفة عند المغادرة,negative,HARD,0
في بدايه الامر اعجبتني الروايه كثيرا وكنت متشوقه لااعرف ماهي الاحداث التي سوف تتلو الصفحة التي اطالعها ولاكن عند وصولي لمنتصفه شعرت بالملل من الاسهاب في بعض الاحيان في شرح احداث و حوارات تدور بين شخصيات القصه,negative,LABR,0
